"","x"
"25","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"26","Attorneys who worked to advance Trump's fascist agenda knowingly signed on to represent evil, and should essentiall… https://t.co/xSzP0MrQc0"
"27","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"28","@bakaomubo The truth is that the POCs have decided to wipe <U+26AB> Pepo off the map &amp; divi up the world amongs themselves… https://t.co/SgePcwBOWN"
"29","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"30","RT @Libbi_Gorr: Kim Beazley says when Joe Biden talks, be prepared to Listen. And Keep Listening.  @GovHouseWA  @DailyMail  #Auspol @abcmel…"
"31","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"32","RT @SandraRodkey: Trump wanted the Justice Department to sue individual states to overturn their election results, but top officials refuse…"
"33","Trump wanted the Justice Department to sue individual states to overturn their election results, but top officials… https://t.co/0cBtdzdDsF"
"34","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"35","RT @KenRoth: The European Union and the US join a growing clamor for an independent investigation into Ugandan security force election-rela…"
"36","81 million votes. Most popular President in US history (except on YouTube)  
You would think the democrats would fa… https://t.co/9oN5cTG0Bx"
"37","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"38","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"39","RT @BillKristol: We should all be alarmed that Trump may walk away from all this, from his attempt as president to overturn the election, w…"
"40","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"41","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"42","RT @samstein: We had heard that Scott Perry was the PA Republican who was involving in trying to oust the AG and help Trump overturn the el…"
"43","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"44","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"45","RT @Taniel: You thought it. You guessed it. You were right.

Jeffrey Clark, who the NYT now reports was the most stunning coup planner in T…"
"46","RT @donmoyn: Grennell is not an obscure professor with kooky views unrelated to his job. He was hired by Carnegie Mellon University for his…"
"47","RT @ChattJazz: .@glennkirschner2 .@playtwo .@CheriJacobus when is enough enough? When will politicians be held accountable for crimes again…"
"48","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"49","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"50","RT @BenjaminNorton: Twitter just suspended the account of Venezuela's new National Assembly, which was voted on in an election in December…"
"51","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"52","RT @DanielBleakley: Imagine if each of us encouraged one of our friends to join twitter each and every week right up till the next federal…"
"53","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"54","RT @ChattJazz: .@glennkirschner2 .@playtwo .@CheriJacobus when is enough enough? When will politicians be held accountable for crimes again…"
"55","We need an election. We need grown ups in the government negotiating us a status that gives us a chance to work wit… https://t.co/LLyOp0j3DL"
"56","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"57","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"58","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"59","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"60","RT @LGMandelaBarnes: The spring primary election in Wisconsin is on Tuesday, Feb. 16, but you can request your absentee ballot and vote saf…"
"61","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"62","RT @DraperRobert: Another @ktbenner &amp; @CatieEdmondson scoop: the obscure DOJ lawyer who discussed w/Trump ways of overturning the election…"
"63","RT @ChattJazz: .@glennkirschner2 .@playtwo .@CheriJacobus when is enough enough? When will politicians be held accountable for crimes again…"
"64","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"65","For those of us of a certain age, this feels like the old Gropegate allegations against @Schwarzenegger a week befo… https://t.co/7aiESN3eTF"
"66","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"67","RT @DebraMessing: .@FBIWFO @FBIPhiladelphia @FBIPittsburgh INDICT THIS SEDITIONIST. 
Pennsylvania Lawmaker Played Key Role in Trump’s Plot…"
"68","@RRichardsonyt Boris has the capacity to get on with most people when it matters. 
How else do you think he became… https://t.co/t8YMt2Z8ib"
"69","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"70","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"71","RT @tokitaeII: For all you Republicans whining about 'cancel culture' (which is a farce) why don't you look in the mirror and tell us why y…"
"72","RT @Frank_Schaeffer: Recent opinion polls say more than a third of the total US electorate still believe that Trump won the November electi…"
"73","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"74","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"75","RT @ReportsDaNews: (@SenSchumer)
Unconscionable a Trump Justice Department leader would conspire to subvert the people's will

The Justice…"
"76","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"77","If only Hawley and Cruz would show some real guts:  stand by your actual opinions.  Don’t pack it in, spin it, disi… https://t.co/tfvb9IMjcs"
"78","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"79","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"80","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"81","RT @girlsreallyrule: THIS IS BIG: Due to voter fraud investigations nationwide not turning up enough proof to alter the election outcome, P…"
"82","Senators who backed Trump's election challenge may rethink their stance on impeachment after losing corporate fundi… https://t.co/zcNn2ArdSa"
"83","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"84","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"85","@earthnamek And Wisconsin, too 

https://t.co/fLk8Xeb8kO"
"86","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"87","RT @JudicialWatch: BREAKING: Judicial Watch announced today that #Georgia voter data shows over 4,700 absentee voters in the presidential e…"
"88","RT @KenRoth: The European Union and the US join a growing clamor for an independent investigation into Ugandan security force election-rela…"
"89","Qin Hui, “On the ‘Mainstream Media:’  Replies to a Guest’s Objections Concerning the U.S. Election”
https://t.co/6oVg96jkPr"
"90","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"91","[Reading the China Dream]:
Hong Kong + US Election
17/1/2021 https://t.co/fkSgDuHyzk"
"92","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"93","Trump asked Justice Department to go to Supreme Court to overturn election  —- as more illegal actions emerge,… https://t.co/TuMplDuiqL"
"94","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"95","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"96","RT @gregpmiller: Our country was on the knife's edge in ways we still don't fully comprehend. https://t.co/gIjiahV7TI"
"97","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"98","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"99","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"100","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"101","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"102","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"103","RT @Meidas_Damon: @malcolmkenyatta @RepScottPerry Please resign now. You did this:

Pennsylvania Lawmaker Played Key Role in Trump’s Plot t…"
"104","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"105","Kim Beazley says when Joe Biden talks, be prepared to Listen. And Keep Listening.  @GovHouseWA  @DailyMail  #Auspol… https://t.co/19OyiBWlmp"
"106","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"107","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"108","RT @Calvinmyke: Byabakama's @UgandaEC Organised a fraud election that he himself can't give a clear and honest accountability for. Byabakam…"
"109","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"110","RT @jaketapper: NYT IDs <U+2066>@RepScottPerry<U+2069> as the PA GOPer who introduced Trump to DOJ official Jeffrey Clark, “whose openness to conspiracy…"
"111","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"112","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"113","RT @shannaforPA: I spend a few hours away from social media and come back to this WHOLLY unsurprising bombshell of bullshit from my horrid…"
"114","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"115","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"116","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"117","RT @Frank_Schaeffer: Recent opinion polls say more than a third of the total US electorate still believe that Trump won the November electi…"
"118","RT @EconomicTimes: Few foreigners welcomed Biden’s election victory as enthusiastically as the tens of thousands of Muslims who have been l…"
"119","RT @niYgnaYniYgnaY: @laurenboebert Let's talk about who Boebert really represents -
The Billionaires who secretly own Republicans like Laur…"
"120","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"121","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"122","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"123","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"124","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"125","@NikkiHaley Nikki, the very fact that Rudy Giuliani liked your text should convince you it is wrong.
Take a breath… https://t.co/j7fdJFVwa8"
"126","RT @DelWilber: I read this story for a second time this morning. All I can say is whoa: https://t.co/fGtFwvr3LY"
"127","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"128","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"129","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"130","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"131","RT @guano_col: @KarenEDeering @Beachbumjules @donwinslow We can't sleep - we are literally one election away from fascism.  We MUST gain mo…"
"132","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"133","RT @JaneMayerNYer: We were so much closer to a coup than we even knew: Trump and Justice Dept. Lawyer Said to Have Plotted to Oust Acting A…"
"134","RT @Frank_Schaeffer: Recent opinion polls say more than a third of the total US electorate still believe that Trump won the November electi…"
"135","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"136","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"137","RT @CarolynBMaloney: I get chills down my spine as more stories about Trump’s attempt to overthrow our election come out and we learn just…"
"138","RT @jmadincea: @DonaldJTrumpJr @TheLastRefuge2 <U+0001F6A8><U+0001F6A8><U+0001F6A8>Breaking News: Donald Trump and a Justice Department official plotted to oust the acting…"
"139","@Day1Trumpet <U+0001F1FA><U+0001F1F8>Insurrection Act is live<U+0001F1FA><U+0001F1F8>
https://t.co/tK93YwlI5X
TODAY<U+0001F3DB>CONFIRMED!
Support our troops!
The #CCP are… https://t.co/GhdKtfVSpf"
"140","RT @Meidas_Damon: @malcolmkenyatta @RepScottPerry Please resign now. You did this:

Pennsylvania Lawmaker Played Key Role in Trump’s Plot t…"
"141","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"142","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://t.co/sZFNveOQXF"
"143","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"144","RT @MSNBC: MyPillow CEO and ardent Trump supporter Mike Lindell said Monday his products have been dropped by major retailers like Bed Bath…"
"145","RT @nytimes: Breaking News: A Pennsylvania congressman played a key role in Donald Trump’s plot to oust the acting attorney general this mo…"
"146","RT @EricHolder: There must be accountability/consequences for all those who participated in the effort to subvert our democracy. This is no…"
"147","RT @peterbakernyt: How a GOP congressman from Pennsylvania helped steer Trump to a Justice Department lawyer who shared his conspiratorial…"
"148","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"149","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"150","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://t.co/4AVBzOPDDT"
"151","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://t.co/CmE55y4s97"
"152","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"153","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"154","If Covid 19 hadn’t hit the US, I really wonder if Trump would have lost the election! What do you think?"
"155","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"156","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"157","RT @wjantholis: speechless  https://t.co/Y1wZzsYJ1R"
"158","Unless Trump is impeached and convicted, Trump and Trumpism will continue to shadow US politics and shadow the US i… https://t.co/rUjxLZtg7C"
"159","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"160","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"161","RT @shannaforPA: I spend a few hours away from social media and come back to this WHOLLY unsurprising bombshell of bullshit from my horrid…"
"162","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"163","RT @CatMcKinnell: Trump might have left this week and those who gushed over his Presidency and election would like us to forget. From ridic…"
"164","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"165","@GraceBrodie @joannaccherry Should the May election be based on the premis of us voting that only the Scottish Parl… https://t.co/nUEsoNFwuU"
"166","RT @SenatorHughes: Reads like treason to me: Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General https://…"
"167","today is election day and i'm high key anxious rn because for the past months i've been having flashbacks to the 20… https://t.co/UDiUfq4iSF"
"168","@frogman5326QQQ <U+0001F1FA><U+0001F1F8>Insurrection Act is live<U+0001F1FA><U+0001F1F8>
https://t.co/tK93YwlI5X
TODAY<U+0001F3DB>CONFIRMED!
Support our troops!
The #CCP… https://t.co/x2EZzjEGRZ"
"169","NY Times: How Democrats Planned for Doomsdayhttps://t.co/h70PD6EWw2"
"170","RT @McFaul: All sorts of people, in the U.S. &amp; Russia, are speculating today about Navalny's popularity. Wouldn't it be nice to have some d…"
"171","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"172","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"173","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"174","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"175","@DrPaulGosar Yes we do and we also know that you lied to us all and it is sedition. You should stick to Dentistry b… https://t.co/rw7air242I"
"176","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"177","Top story: Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General… https://t.co/KMtj68oYsk"
"178","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"179","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"180","RT @awzurcher: There are going to be a lot of stories like this - of shocking things Trump thought about doing but didn’t - in the days ahe…"
"181","@frogman5326QQQ <U+0001F1FA><U+0001F1F8>Insurrection Act is live<U+0001F1FA><U+0001F1F8>
https://t.co/tK93YwlI5X
TODAY<U+0001F3DB>CONFIRMED!
Support our troops!
The #CCP… https://t.co/ARNPvL3wr7"
"182","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"183","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"184","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"185","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"186","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"187","How Democrats Planned for Doomsday https://t.co/KsJY0QDgqu"
"188","How Democrats Planned for Doomsday https://t.co/n46eExz5JE"
"189","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"190","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"191","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"192","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"193","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General
https://t.co/WxebvypAgH PA di… https://t.co/Dmv0Y0M6pC"
"194","RT @Frank_Schaeffer: Recent opinion polls say more than a third of the total US electorate still believe that Trump won the November electi…"
"195","@slscwg @EnergyVampire10 @NancyWindsorUK @LozzaFox @CharlieFlanagan @thebrendapower It is those of us who are AGAIN… https://t.co/XJgZguYMKV"
"196","RT @TomJChicago: 1 NYT bombshell- Trump plotted w/ DOJ attorney to replace the acting AG to further the conspiracy to overthrow the electio…"
"197","RT @duffomatic: Under truth in advertising laws, the ‘Freedom Caucus’ will now be known as the ‘Sedition Caucus’  https://t.co/KbifzWH9em"
"198","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"199","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"200","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"201","Pennsylvania Lawmaker Played Key Role in Trump’s Plot to Oust Acting Attorney General - The New York Times https://t.co/yPM4I4pBQk"
"202","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"203","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"204","Beating Down The Vote: Although the ruling party of Prime Minister Sheikh Hasina gained more power, the low turnout… https://t.co/pSXmwSYb1e"
"205","RT @Meidas_Damon: @malcolmkenyatta @RepScottPerry Please resign now. You did this:

Pennsylvania Lawmaker Played Key Role in Trump’s Plot t…"
"206","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"207","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"208","RT @ktbenner: SCOOP: The acting head of DOJ's civil division spoke with Trump about a plan to stop the steal; and then told Acting AG Rosen…"
"209","RT @NBCNews: Delta Air Lines has put 880 people on its no-fly list for not complying with its mask requirements and has banned others from…"
"210","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"211","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"212","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"213","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"214","RT @ktbenner: Don't know what to say. I guess there was, I dunno, an almost-coup at DOJ so that this man no one really knew outside of the…"
"215","RT @Frank_Schaeffer: Recent opinion polls say more than a third of the total US electorate still believe that Trump won the November electi…"
"216","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"217","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"218","RT @amyklobuchar: Days before inciting failed physical attack on Congress, Trump plotted another kind of insurrection...this time against t…"
"219","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"220","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"221","RT @concordiah2020: Our partner analyzed the influence of #trolls during the 2016 #US #presidential #election. Would you expect that the av…"
"222","RT @McFaul: Please Putin government officials &amp; their supporters spare me your empty lectures about ""sovereignty"" after Putin invaded Georg…"
"223","RT @HEBobiwine: Yes, for standing and defeating Gen. Museveni in an election, which he resoundingly rigged, I am still under house arrest 8…"
"224","@laurenboebert Well, there's the fencing that trump erected to keep him safe from those nasty crowds.   And then th… https://t.co/tRWSoMq6zy"
"225","@danilic @chryssieswarbs @friendlyjordies Emerson Brophy on TikTok did some catchy content around the US election.… https://t.co/NHtKyMD6uL"
"226","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"227","RT @Herckle: @tcrabtree13 @ScottMStedman @Debra77resist Don't give them a nudge. On Dec 11 after the US Supreme Court rejected Texas' attem…"
"228","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"229","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"230","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"231","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"232","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"233","RT @McFaul: Those who used violence, including killing a police officer, to  storm the US Capitol we’re trying to overturn a free and fair…"
"234","Trump asked Justice Department to go to Supreme Court to overturn election: Journal https://t.co/QHYgoZ9OEW"
"235","This populist will not let you lose.
<U+0001F601><U+0001F601><U+0001F601><U+0001F601><U+0001F601><U+0001F601><U+0001F601>
Trump asked Justice Department to go to Supreme Court to overturn elec… https://t.co/9nLbOHpp2B"
"236","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"237","RT @DeanObeidallah: UNREAL: Trump and DOJ lawyer Jeffrey Clark worked on a legal coup. They were going to make him Acting AG to attempt to…"
